,Scotland,Rest of UK,Rest of EU,Non-EU Europe,Non-Europe
2006-07,217035,27030,12070,1195,21890
2007-08,209170,27690,12670,1195,21250
2008-09,212010,28160,13850,1335,23820
2009-10,215595,29525,16075,1550,24445
2010-11,214315,29805,16380,1805,27435
2011-12,205130,29410,17545,1855,27540
2012-13,201580,29045,18730,2015,27340
2013-14,202190,27975,19870,2070,27375
2014-15,201595,28770,20890,2190,27835
2015-16,203730,29815,21045,2195,28670
-META-,,,,,
YAXISTITLE,Number of HE students at HEIs in Scotland,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
LEFTPADDING,60,,,,
RIGHTPADDING,100,,,,
STACKEDLEGENDRIGHT,TRUE,,,,
